sample_index,elapsed_seconds,timestamp,raw_adc
179,34.860000,2026-09-08T10:51:27.738+08:00,2047
180,34.891000,2026-09-08T10:51:27.769+08:00,2042
181,34.907000,2026-09-08T10:51:27.785+08:00,2042
182,34.938000,2026-09-08T10:51:27.816+08:00,2042
183,34.969000,2026-09-08T10:51:27.847+08:00,2040
184,34.985000,2026-09-08T10:51:27.863+08:00,2042
185,35.016000,2026-09-08T10:51:27.894+08:00,2042
186,35.063000,2026-09-08T10:51:27.941+08:00,2044
187,35.094000,2026-09-08T10:51:27.972+08:00,2049
188,35.125000,2026-09-08T10:51:28.003+08:00,2044
189,35.141000,2026-09-08T10:51:28.019+08:00,2048
190,35.172000,2026-09-08T10:51:28.050+08:00,2048
191,35.203000,2026-09-08T10:51:28.081+08:00,2049
192,35.219000,2026-09-08T10:51:28.097+08:00,2051
193,35.250000,2026-09-08T10:51:28.128+08:00,2051
194,35.282000,2026-09-08T10:51:28.160+08:00,2053
195,35.297000,2026-09-08T10:51:28.175+08:00,2054
196,35.328000,2026-09-08T10:51:28.206+08:00,2054
197,35.360000,2026-09-08T10:51:28.238+08:00,2053
198,35.375000,2026-09-08T10:51:28.253+08:00,2054
199,35.407000,2026-09-08T10:51:28.285+08:00,2051
200,35.453000,2026-09-08T10:51:28.331+08:00,2050
201,35.485000,2026-09-08T10:51:28.363+08:00,2054
202,35.516000,2026-09-08T10:51:28.394+08:00,2055
203,35.532000,2026-09-08T10:51:28.410+08:00,2057
204,35.563000,2026-09-08T10:51:28.441+08:00,2058
205,35.594000,2026-09-08T10:51:28.472+08:00,2061
206,35.610000,2026-09-08T10:51:28.488+08:00,2064
207,35.641000,2026-09-08T10:51:28.519+08:00,2066
208,35.672000,2026-09-08T10:51:28.550+08:00,2066
209,35.688000,2026-09-08T10:51:28.566+08:00,2068
210,35.719000,2026-09-08T10:51:28.597+08:00,2069
211,35.750000,2026-09-08T10:51:28.628+08:00,2070
212,35.766000,2026-09-08T10:51:28.644+08:00,2071
213,35.797000,2026-09-08T10:51:28.675+08:00,2075
214,35.828000,2026-09-08T10:51:28.706+08:00,2073
215,35.844000,2026-09-08T10:51:28.722+08:00,2073
216,35.875000,2026-09-08T10:51:28.753+08:00,2072
217,35.907000,2026-09-08T10:51:28.785+08:00,2072
218,35.922000,2026-09-08T10:51:28.800+08:00,2073
219,35.953000,2026-09-08T10:51:28.831+08:00,2070
220,35.985000,2026-09-08T10:51:28.863+08:00,2074
221,36.000000,2026-09-08T10:51:28.878+08:00,2072
222,36.032000,2026-09-08T10:51:28.910+08:00,2073
223,36.063000,2026-09-08T10:51:28.941+08:00,2074
224,36.078000,2026-09-08T10:51:28.956+08:00,2081
225,36.110000,2026-09-08T10:51:28.988+08:00,2078
226,36.141000,2026-09-08T10:51:29.019+08:00,2078
227,36.157000,2026-09-08T10:51:29.035+08:00,2080
228,36.188000,2026-09-08T10:51:29.066+08:00,2083
229,36.219000,2026-09-08T10:51:29.097+08:00,2084
230,36.235000,2026-09-08T10:51:29.113+08:00,2084
231,36.266000,2026-09-08T10:51:29.144+08:00,2084
232,36.297000,2026-09-08T10:51:29.175+08:00,2083085
233,36.313000,2026-09-08T10:51:29.191+08:00,2085
234,36.344000,2026-09-08T10:51:29.222+08:00,2080
235,36.375000,2026-09-08T10:51:29.253+08:00,2079
236,36.391000,2026-09-08T10:51:29.269+08:00,2082
237,36.422000,2026-09-08T10:51:29.300+08:00,2080
238,36.453000,2026-09-08T10:51:29.331+08:00,2079
239,36.469000,2026-09-08T10:51:29.347+08:00,2081
240,36.500000,2026-09-08T10:51:29.378+08:00,2081
241,36.532000,2026-09-08T10:51:29.410+08:00,2083
242,36.578000,2026-09-08T10:51:29.456+08:00,2087
243,36.610000,2026-09-08T10:51:29.488+08:00,2087
244,36.625000,2026-09-08T10:51:29.503+08:00,2086
245,36.657000,2026-09-08T10:51:29.535+08:00,2088
